Car#,Time,Speed (m/s),Latitude,Longitude
Car1,0,38.6,39.45713,-77.56358
Car1,5,36,39.45553,-77.56418
Car2,5,30.9,39.51699,-77.31838
Car1,10,36,39.45397,-77.56475
Car2,10,36,39.51541,-77.31873
Car1,15,36,39.45242,-77.56533
Car2,15,36,39.51381,-77.31909
Car1,20,36,39.45086,-77.5659
Car2,20,36,39.51222,-77.31945
Car1,25,36,39.4493,-77.56648
Car2,25,36,39.51062,-77.31981
Car1,30,36,39.44775,-77.56705
Car2,30,36,39.50903,-77.32016
Car3,30,38.6,39.62007,-77.08609
Car1,35,36,39.44619,-77.56763
Car2,35,36,39.50743,-77.32052
Car3,35,41.2,39.6188,-77.08436
Car1,40,36,39.44463,-77.56821
Car2,40,36,39.50583,-77.32088
Car3,40,41.2,39.61752,-77.08262
Car1,45,36,39.44307,-77.56879
Car2,45,36,39.50424,-77.32123
Car3,45,41.2,39.61624,-77.08088
Car1,50,36,39.44152,-77.56936
Car2,50,36,39.50264,-77.32159
Car3,50,41.2,39.61496,-77.07915
Car1,55,36,39.43996,-77.56994
Car2,55,36,39.50105,-77.32195
Car3,55,41.2,39.61369,-77.07741
Car1,60,36,39.4384,-77.57051
Car2,60,36,39.49945,-77.3223
Car3,60,41.2,39.61241,-77.07567
Car1,65,36,39.43684,-77.57109
Car2,65,36,39.49786,-77.32265
Car3,65,41.2,39.61113,-77.07393
Car1,70,36,39.43529,-77.57166
Car2,70,36,39.49626,-77.32301
Car3,70,41.2,39.60985,-77.07219
Car1,75,36,39.43373,-77.57224
Car2,75,36,39.49466,-77.32337
Car3,75,41.2,39.60857,-77.07046
Car1,80,36,39.43218,-77.57281
Car2,80,36,39.49306,-77.32372
Car3,80,41.2,39.6073,-77.06872
Car1,85,36,39.43062,-77.57339
Car2,85,36,39.49147,-77.32408
Car3,85,41.2,39.60602,-77.06698
Car1,90,36,39.42906,-77.57397
Car2,90,36,39.48988,-77.32444
Car3,90,41.2,39.60474,-77.06525
Car1,95,36,39.42751,-77.57455
Car2,95,36,39.48828,-77.32479
Car3,95,41.2,39.60347,-77.06351
Car1,100,36,39.42595,-77.57512
Car2,100,36,39.48669,-77.32515
Car3,100,41.2,39.60218,-77.06177
Car1,105,36,39.42439,-77.5757
Car2,105,36,39.48509,-77.32551
Car3,105,41.2,39.60091,-77.06003
Car1,110,36,39.42284,-77.57627
Car2,110,36,39.48349,-77.32586
Car3,110,41.2,39.59963,-77.0583
Car1,115,36,39.42128,-77.57685
Car2,115,36,39.4819,-77.32622
Car3,115,41.2,39.59835,-77.05656
Car1,120,36,39.41972,-77.57742
Car2,120,36,39.4803,-77.32658
Car3,120,41.2,39.59707,-77.05482
Car1,125,36,39.41817,-77.578
Car2,125,36,39.47871,-77.32693
Car3,125,41.2,39.59579,-77.05309
Car1,130,36,39.41661,-77.57858
