Time,Camera,Car#
108,TrafficCamera_2,Car1
109,TrafficCamera_2,Car1
111,TrafficCamera_2,Car1
112,TrafficCamera_2,Car1
113,TrafficCamera_2,Car1
114,TrafficCamera_2,Car1
115,TrafficCamera_2,Car1
116,TrafficCamera_2,Car1
117,TrafficCamera_2,Car1
118,TrafficCamera_2,Car1
119,TrafficCamera_2,Car1
120,TrafficCamera_2,Car1
121,TrafficCamera_2,Car1
122,TrafficCamera_2,Car1
123,TrafficCamera_2,Car1
124,TrafficCamera_2,Car1
125,TrafficCamera_2,Car1
126,TrafficCamera_2,Car1
127,TrafficCamera_2,Car1
128,TrafficCamera_2,Car1
129,TrafficCamera_2,Car1
130,TrafficCamera_2,Car1
131,TrafficCamera_2,Car1
131,TrafficCamera_2,Car1
132,TrafficCamera_2,Car1
132,TrafficCamera_2,Car1
133,TrafficCamera_2,Car1
133,TrafficCamera_2,Car1
134,TrafficCamera_2,Car1
134,TrafficCamera_2,Car1
135,TrafficCamera_2,Car1
135,TrafficCamera_2,Car1
136,TrafficCamera_2,Car1
136,TrafficCamera_2,Car1
137,TrafficCamera_2,Car1
137,TrafficCamera_2,Car1
138,TrafficCamera_2,Car1
138,TrafficCamera_2,Car1
139,TrafficCamera_2,Car1
139,TrafficCamera_2,Car1
140,TrafficCamera_2,Car1
140,TrafficCamera_2,Car1
141,TrafficCamera_2,Car1
141,TrafficCamera_2,Car1
142,TrafficCamera_2,Car1
142,TrafficCamera_2,Car1
143,TrafficCamera_2,Car1
143,TrafficCamera_2,Car1
144,TrafficCamera_2,Car1
144,TrafficCamera_2,Car1
145,TrafficCamera_2,Car1
145,TrafficCamera_2,Car1
146,TrafficCamera_2,Car1
146,TrafficCamera_2,Car1
147,TrafficCamera_2,Car1
147,TrafficCamera_2,Car1
148,TrafficCamera_2,Car1
148,TrafficCamera_2,Car1
149,TrafficCamera_2,Car1
149,TrafficCamera_2,Car1
150,TrafficCamera_2,Car1
150,TrafficCamera_2,Car1
151,TrafficCamera_2,Car1
151,TrafficCamera_2,Car1
152,TrafficCamera_2,Car1
152,TrafficCamera_2,Car1
153,TrafficCamera_2,Car1
153,TrafficCamera_2,Car1
154,TrafficCamera_2,Car1
154,TrafficCamera_2,Car1
155,TrafficCamera_2,Car1
155,TrafficCamera_2,Car1
156,TrafficCamera_2,Car1
156,TrafficCamera_2,Car1
157,TrafficCamera_2,Car1
157,TrafficCamera_2,Car1
158,TrafficCamera_2,Car1
158,TrafficCamera_2,Car1
159,TrafficCamera_2,Car1
159,TrafficCamera_2,Car1
160,TrafficCamera_2,Car1
160,TrafficCamera_2,Car1
161,TrafficCamera_2,Car1
161,TrafficCamera_2,Car1
162,TrafficCamera_2,Car1
162,TrafficCamera_2,Car1
163,TrafficCamera_2,Car1
163,TrafficCamera_2,Car1
164,TrafficCamera_2,Car1
164,TrafficCamera_2,Car1
165,TrafficCamera_2,Car1
165,TrafficCamera_2,Car1
166,TrafficCamera_2,Car1
166,TrafficCamera_2,Car1
167,TrafficCamera_2,Car1
167,TrafficCamera_2,Car1
168,TrafficCamera_2,Car1
168,TrafficCamera_2,Car1
169,TrafficCamera_2,Car1
169,TrafficCamera_2,Car1
170,TrafficCamera_2,Car1
170,TrafficCamera_2,Car1
171,TrafficCamera_2,Car1
171,TrafficCamera_2,Car1
172,TrafficCamera_2,Car1
172,TrafficCamera_2,Car1
173,TrafficCamera_2,Car1
173,TrafficCamera_2,Car1
174,TrafficCamera_2,Car1
174,TrafficCamera_2,Car1
175,TrafficCamera_2,Car1
175,TrafficCamera_2,Car1
176,TrafficCamera_2,Car1
176,TrafficCamera_2,Car1
177,TrafficCamera_2,Car1
177,TrafficCamera_2,Car1
178,TrafficCamera_2,Car1
178,TrafficCamera_2,Car1
179,TrafficCamera_2,Car1
179,TrafficCamera_2,Car1
180,TrafficCamera_2,Car1
180,TrafficCamera_2,Car1
181,TrafficCamera_2,Car1
181,TrafficCamera_2,Car1
182,TrafficCamera_2,Car1
182,TrafficCamera_2,Car1
183,TrafficCamera_2,Car1
183,TrafficCamera_2,Car1
184,TrafficCamera_2,Car1
184,TrafficCamera_2,Car1
185,TrafficCamera_2,Car1
185,TrafficCamera_2,Car1
186,TrafficCamera_2,Car1
186,TrafficCamera_2,Car1
187,TrafficCamera_2,Car1
187,TrafficCamera_2,Car1
188,TrafficCamera_2,Car1
188,TrafficCamera_2,Car1
189,TrafficCamera_2,Car1
189,TrafficCamera_2,Car1
190,TrafficCamera_2,Car1
190,TrafficCamera_2,Car1
191,TrafficCamera_2,Car1
191,TrafficCamera_2,Car1
192,TrafficCamera_2,Car1
192,TrafficCamera_2,Car1
193,TrafficCamera_2,Car1
193,TrafficCamera_2,Car1
194,TrafficCamera_2,Car1
194,TrafficCamera_2,Car1
195,TrafficCamera_2,Car1
195,TrafficCamera_2,Car1
196,TrafficCamera_2,Car1
196,TrafficCamera_2,Car1
197,TrafficCamera_2,Car1
197,TrafficCamera_2,Car1
198,TrafficCamera_2,Car1
198,TrafficCamera_2,Car1
199,TrafficCamera_2,Car1
199,TrafficCamera_2,Car1
200,TrafficCamera_2,Car1
200,TrafficCamera_2,Car1
201,TrafficCamera_2,Car1
201,TrafficCamera_2,Car1
202,TrafficCamera_2,Car1
202,TrafficCamera_2,Car1
203,TrafficCamera_2,Car1
203,TrafficCamera_2,Car1
204,TrafficCamera_2,Car1
204,TrafficCamera_2,Car1
205,TrafficCamera_2,Car1
205,TrafficCamera_2,Car1
206,TrafficCamera_2,Car1
206,TrafficCamera_2,Car1
207,TrafficCamera_2,Car1
207,TrafficCamera_2,Car1
208,TrafficCamera_2,Car1
208,TrafficCamera_2,Car1
209,TrafficCamera_2,Car1
209,TrafficCamera_2,Car1
210,TrafficCamera_2,Car1
210,TrafficCamera_2,Car1
211,TrafficCamera_2,Car1
211,TrafficCamera_2,Car1
212,TrafficCamera_2,Car1
212,TrafficCamera_2,Car1
213,TrafficCamera_2,Car1
213,TrafficCamera_2,Car1
214,TrafficCamera_2,Car1
214,TrafficCamera_2,Car1
215,TrafficCamera_2,Car1
215,TrafficCamera_2,Car1
216,TrafficCamera_2,Car1
216,TrafficCamera_2,Car1
217,TrafficCamera_2,Car1
217,TrafficCamera_2,Car1
218,TrafficCamera_2,Car1
218,TrafficCamera_2,Car1
219,TrafficCamera_2,Car1
219,TrafficCamera_2,Car1
220,TrafficCamera_2,Car1
220,TrafficCamera_2,Car1
221,TrafficCamera_2,Car1
221,TrafficCamera_2,Car1
222,TrafficCamera_2,Car1
222,TrafficCamera_2,Car1
224,TrafficCamera_2,Car1
224,TrafficCamera_2,Car1
225,TrafficCamera_2,Car1
225,TrafficCamera_2,Car1
226,TrafficCamera_2,Car1
226,TrafficCamera_2,Car1
227,TrafficCamera_2,Car1
227,TrafficCamera_2,Car1
228,TrafficCamera_2,Car1
228,TrafficCamera_2,Car1
231,TrafficCamera_2,Car1
231,TrafficCamera_2,Car1
232,TrafficCamera_2,Car1
232,TrafficCamera_2,Car1
233,TrafficCamera_2,Car1
233,TrafficCamera_2,Car1
234,TrafficCamera_2,Car1
234,TrafficCamera_2,Car1
235,TrafficCamera_2,Car1
235,TrafficCamera_2,Car1
236,TrafficCamera_2,Car1
236,TrafficCamera_2,Car1
237,TrafficCamera_2,Car1
237,TrafficCamera_2,Car1
238,TrafficCamera_2,Car1
238,TrafficCamera_2,Car1
239,TrafficCamera_2,Car1
239,TrafficCamera_2,Car1
240,TrafficCamera_2,Car1
240,TrafficCamera_2,Car1
241,TrafficCamera_2,Car1
241,TrafficCamera_2,Car1
242,TrafficCamera_2,Car1
242,TrafficCamera_2,Car1
243,TrafficCamera_2,Car1
243,TrafficCamera_2,Car1
244,TrafficCamera_2,Car1
244,TrafficCamera_2,Car1
245,TrafficCamera_2,Car1
245,TrafficCamera_2,Car1
246,TrafficCamera_2,Car1
246,TrafficCamera_2,Car1
247,TrafficCamera_2,Car1
247,TrafficCamera_2,Car1
248,TrafficCamera_2,Car1
248,TrafficCamera_2,Car1
249,TrafficCamera_2,Car1
249,TrafficCamera_2,Car1
250,TrafficCamera_2,Car1
250,TrafficCamera_2,Car1
251,TrafficCamera_2,Car1
251,TrafficCamera_2,Car1
252,TrafficCamera_2,Car1
252,TrafficCamera_2,Car1
253,TrafficCamera_2,Car1
253,TrafficCamera_2,Car1
254,TrafficCamera_2,Car1
254,TrafficCamera_2,Car1
255,TrafficCamera_2,Car1
255,TrafficCamera_2,Car1
256,TrafficCamera_2,Car1
256,TrafficCamera_2,Car1
257,TrafficCamera_2,Car1
257,TrafficCamera_2,Car1
258,TrafficCamera_2,Car1
258,TrafficCamera_2,Car1
259,TrafficCamera_2,Car1
259,TrafficCamera_2,Car1
260,TrafficCamera_2,Car1
260,TrafficCamera_2,Car1
261,TrafficCamera_2,Car1
261,TrafficCamera_2,Car1
262,TrafficCamera_2,Car1
262,TrafficCamera_2,Car1
263,TrafficCamera_2,Car1
263,TrafficCamera_2,Car1
264,TrafficCamera_2,Car1
264,TrafficCamera_2,Car1
265,TrafficCamera_2,Car1
265,TrafficCamera_2,Car1
266,TrafficCamera_2,Car1
266,TrafficCamera_2,Car1
267,TrafficCamera_2,Car1
267,TrafficCamera_2,Car1
268,TrafficCamera_2,Car1
268,TrafficCamera_2,Car1
269,TrafficCamera_2,Car1
269,TrafficCamera_2,Car1
270,TrafficCamera_2,Car1
270,TrafficCamera_2,Car1
271,TrafficCamera_2,Car1
271,TrafficCamera_2,Car1
272,TrafficCamera_2,Car1
272,TrafficCamera_2,Car1
273,TrafficCamera_2,Car1
273,TrafficCamera_2,Car1
274,TrafficCamera_2,Car1
274,TrafficCamera_2,Car1
275,TrafficCamera_2,Car1
275,TrafficCamera_2,Car1
276,TrafficCamera_2,Car1
276,TrafficCamera_2,Car1
277,TrafficCamera_2,Car1
277,TrafficCamera_2,Car1
278,TrafficCamera_2,Car1
278,TrafficCamera_2,Car1
279,TrafficCamera_2,Car1
279,TrafficCamera_2,Car1
280,TrafficCamera_2,Car1
280,TrafficCamera_2,Car1
281,TrafficCamera_2,Car1
281,TrafficCamera_2,Car1
282,TrafficCamera_2,Car1
282,TrafficCamera_2,Car1
283,TrafficCamera_2,Car1
283,TrafficCamera_2,Car1
284,TrafficCamera_2,Car1
284,TrafficCamera_2,Car1
285,TrafficCamera_2,Car1
285,TrafficCamera_2,Car1
288,TrafficCamera_2,Car1
288,TrafficCamera_2,Car1
289,TrafficCamera_2,Car1
289,TrafficCamera_2,Car1
290,TrafficCamera_2,Car1
290,TrafficCamera_2,Car1
292,TrafficCamera_2,Car1
292,TrafficCamera_2,Car1
293,TrafficCamera_2,Car1
293,TrafficCamera_2,Car1
294,TrafficCamera_2,Car1
294,TrafficCamera_2,Car1
295,TrafficCamera_2,Car1
295,TrafficCamera_2,Car1
296,TrafficCamera_2,Car1
296,TrafficCamera_2,Car1
297,TrafficCamera_2,Car1
297,TrafficCamera_2,Car1
298,TrafficCamera_2,Car1
298,TrafficCamera_2,Car1
299,TrafficCamera_2,Car1
299,TrafficCamera_2,Car1
300,TrafficCamera_2,Car1
300,TrafficCamera_2,Car1
301,TrafficCamera_2,Car1
301,TrafficCamera_2,Car1
302,TrafficCamera_2,Car1
302,TrafficCamera_2,Car1
303,TrafficCamera_2,Car1
303,TrafficCamera_2,Car1
304,TrafficCamera_2,Car1
304,TrafficCamera_2,Car1
305,TrafficCamera_2,Car1
305,TrafficCamera_2,Car1
306,TrafficCamera_2,Car1
306,TrafficCamera_2,Car1
307,TrafficCamera_2,Car1
307,TrafficCamera_2,Car1
308,TrafficCamera_2,Car1
308,TrafficCamera_2,Car1
309,TrafficCamera_2,Car1
309,TrafficCamera_2,Car1
310,TrafficCamera_2,Car1
310,TrafficCamera_2,Car1
311,TrafficCamera_2,Car1
311,TrafficCamera_2,Car1
312,TrafficCamera_2,Car1
312,TrafficCamera_2,Car1
313,TrafficCamera_2,Car1
313,TrafficCamera_2,Car1
314,TrafficCamera_2,Car1
